0,1,http,https,#,@,len,negative_weight,positive_weight,neutral_weight
neutral,"#ARD: Tagesschau, #ORF2: Sturm der Liebe, #SRF1: Eco, #DASVIERTE: Die Sullivans, #MDR: MDR um elf, #MTV: Top 11 at 11",0,0,6,0,20,4,8,20
neutral,#ASVLive Weiße Elf erhöht den Druck. ASV kontert. Friesen verzieht knapp,0,0,1,0,11,2,1,11
positive,#auf #bus #warten #spätdienst #keine #lust #aber #wir #mädels #kochen #yeei #kalt #warmen #pulli #an… http://t.co/Vps4YIacWj,1,1,15,0,16,2,16,2
neutral,#Aufnahme #MCOS1,0,0,2,0,2,0,0,2
positive,#awww #Hasen #Kaninchen #rabbit #Babys #looove #bei #uns #an #der #schule! #so #flauschig #und #klein!… http://t.co/dgBAyryZ8b,1,1,15,0,16,0,16,2
neutral,#Bürogeräte #Bürogeräte Kleinanzeigen #Kleinanzeigen kostenlos aufgeben Bürogeräte verkaufen #Bürobedarf #Anzeigen http://t.co/pW8KeQvpZ7,1,1,5,0,11,0,1,11
neutral,#Baby-Schalen #Baby-Schalen-Kleinanzeigen #Baby-Schalen-Preisvergleich #Kleinanzeigen-kostenlos-aufgeben #verkaufen http://t.co/5XwvIpKSjF,1,1,5,0,6,0,0,6
negative,#back #bored #Hashtag #LoL #FickDichMückenstich,0,0,5,0,5,5,0,1
neutral,"#Barkeeper zu Hause: Die #Küchenmaschine #MK8 von #Siemens bereitet #Smoothies, #Shakes, #Cocktails u.v.m. http://t.co/dQkHqdg8J3 #IFA2013",1,1,8,0,15,3,3,15
neutral,"#Bauerngarten,#Sichtschutz,für gemütliche #Gartenoasen, #Gartenparadies,Kirschlorbeer,#Hecke, http://t.co/NOHxtuCNpv",1,1,5,0,5,0,0,5
neutral,"#Bayern 2013: Wähltest du, vom Bier umnebelt, CSU -hast fünf Jahre deine Ruh (vor Sozen, Schwulen u. Ausländern) #LTW #CSU #Seehofer #S21",0,0,5,0,22,6,6,22
neutral,"#bayern besteht nicht nur aus München! Das Weltbild von @Christian_Ude ist wie ein Kartenhaus zusammengefallen! Richtig so, #horst !",0,0,2,1,19,11,12,19
positive,"#beach #friend #adri #likeit @adrygonzalez2 ❤ @ Golden Beach, Elviria http://t.co/ZXXY8or15R",1,1,4,2,11,0,11,2
neutral,#Bergstraße Flüchtiger stellt sich: HEPPENHEIM http://t.co/OpFvupAARn #Bensheim,1,1,2,0,7,1,1,7
neutral,"#Berlin Google zeigt sich ""aufgebracht"" über mögliche NSA-Schnüffeleien http://t.co/xn3jGZP2pK",1,1,1,0,9,4,5,9
neutral,#Berlin Zwei Festnahmen bei Razzia: Friedliche Demonstration http://t.co/bmR0WzWUV4,1,1,1,0,8,1,3,8
neutral,"#Bernegger: ""Der Ausgleich gegen @FC_Basel war die Belohnung für unsere Investitionen. Das war fantastisch!"" #FCLuzern #FCLFCSG",0,0,3,1,16,8,10,16
neutral,"#Bestseller #Top #1: Der Hobbit: Eine unerwartete Reise - Extended Edition 3D/2D Sammleredition (5 Discs, inkl... http://t.co/4W4KsD5e1I",1,1,3,0,17,3,4,17
neutral,#Bin Single aus Kufstein http://t.co/K2C45O8wzs,1,1,1,0,5,1,1,5
positive,#birthday #cake #endlichneunzehnhä #suuuuper #freumichbisschen #DANKE http://t.co/PmM0uZoCFw,1,1,6,0,7,0,7,0
neutral,#Bocholt Unfall aktuell: Herzogstraße 13 vom 13.05.2013 #Verkehrsinfo ID126 http://t.co/NOKq6P4PAE,1,1,2,0,10,3,1,10
neutral,"#BOING: MONSTER HIGH COMPILATIONS, #EinsFestival: Einsweiter gefragt, #ZDFneo: Hallo Robbie!",0,0,3,0,10,1,1,10
positive,#bolt gewinnt! Sauber (kein passendes Satzzeichen gefunden!),0,0,1,0,7,0,7,1
neutral,"#Broncos Inactives: CB Bailey, CB Jammer, TE Dreessen, G Moffitt, G Kuper, RB Anderson, QB Dysert",0,0,1,0,16,0,1,16
neutral,"#btw Manipulation #Story ""Die frisierte Arbeitslosenquote"" ☠ http://t.co/3QBXcfQlOY ☮ Kostenlose #Hartz-IV Infos http://t.co/hj8AxuKUIo",2,2,3,0,13,1,1,13
neutral,#btw13: SPD könnte laut Döring Preis für Große Koalition bestimmen - Abendzeitung München http://t.co/wYeHqq2Zey,1,1,1,0,14,5,7,14
neutral,#Buchtipp für lustige #Frauen. Nora wünscht sich ein #Kind und das Chaos geht los... #Humor #Liebe #Kindle #iPhone http://t.co/BbZAUmD959,1,1,7,0,19,7,8,19
neutral,#bz: Kein Geldbeutel: Karl Lagerfeld bezahlt niemals selbst http://t.co/RXd6zGSEO9 #berlin,1,1,2,0,10,4,3,10
neutral,#Cancer causing #Foods. Avoid it. #Krebs förderndes Essen. Besser meiden. http://t.co/zPQBTLtvqU,1,1,3,0,11,1,1,11
positive,#chillen #mit #dem #besten #freizeitbad #Greifswald #FreizeitbadGreifswald #spaß #chillivanilli #hihi (: http://t.co/bVzvv4GwSU,1,1,10,0,12,2,12,1
neutral,#clouds #staatskanzlei #munich #münchen #blau #wolken #himmel #sky #silhouette #instagood… http://t.co/xi7sfYQrhG,1,1,10,0,11,0,2,11
neutral,#düsseldorf #duesseldorf #rheinturm #unten #oben @ Rheinturm http://t.co/KFDRz6KJDJ,1,1,5,1,8,0,1,8
neutral,#dagenshockey DJ Jelitto bleibt in Amerika: DEL2. Füchse-Stürmer möchte seinen Vater pflegen. Die... http://t.co/HA4wwvZDEu #hockey,1,1,2,0,15,5,4,15
neutral,#dagenshockey Ziga Pance verstärkt HCB-Offensive: Der HCB Südtirol hat seine Offensive mit Ziga Pance... http://t.co/bYZc3lsUFn #hockey,1,1,2,0,16,4,4,16
neutral,#Dating Frauen Gezielt Verfuehren Mit Dating- Doktor Danny Adams: Frauen Gezielt Verfuehren- Ebook Mit Zw... http://t.co/C4BILso75N - RT,1,1,1,0,18,6,6,18
neutral,#DB #Bahn Schienenersatzverkehr 2013 Mühldorf- München: Aktuelle Änderungen http://t.co/X7fsVIp8Bk #Bauarbeiten-Sanierung-stattAusbau,1,1,3,0,10,1,1,10
neutral,"#deal #schnaeppchen eBay WOW! Angebote der Woche – KW33/34: Teufel 5.1-Set, 40″ Samsung 3D-LED-TV, Fossil... http://t.co/AD2XGheNcl",1,1,2,0,16,3,5,16
neutral,"#deal #schnaeppchen Fidor Prepaid Kreditkarte (keine Schufa) kostenlos + 1,2% Zinsen + keine Gebühren! http://t.co/Zfxs9d3A20",1,1,2,0,15,4,3,15
neutral,"#Dell: Gewinn implodiert ++ Umsatz stagniert, Kosten gestiegen http://t.co/0RZvWKz29J",1,1,1,0,9,1,2,9
neutral,#Deload phase 1 Day 7! #SHFAthlete #HTH (@ Grand Platinum Fitness) http://t.co/4AcwuMzunb,1,1,3,1,12,4,3,12
neutral,#depressionen #boreout Machen Sie #kostenlos den #bore out test http://t.co/Yom3TgM0ET,1,1,4,0,10,4,2,10
neutral,"#Digital: Banksy sprüht, Guantánamo schockiert: Die besten Webvideos der Woche: Ein Treffer im... http://t.co/bcq4GnidSa #Telefon #Handy",1,1,3,0,16,3,6,16
neutral,#dildo #fickmaschine #doppeldildo #anal #arsch #camsex #camgirl #titten #sexy #corsage auf http://t.co/7USizCnYex http://t.co/FrVvEAJzTr,2,2,10,0,13,1,2,13
neutral,#DLR Laser soll Weltraumschrott im erdnahen Orbit beseitigen http://t.co/JQ6Y1bT9WG #Raumfahrt,1,1,2,0,10,2,2,10
neutral,#download &amp; #watch Der Mann auf dem Kometen (1925) http://t.co/n1pEx7BDam #movie,1,1,3,0,11,4,5,11
neutral,#Dropshipping #Internethandel #Firmengründung #Existenzgründung #Raus aus H4 #Fertige Online Shops #Dropshipper http://t.co/Qy9UVQWYzq,1,1,7,0,12,1,2,12
neutral,#ebay #fotografia Canon EF-S 17-55 F 2.8 IS USM Objektiv für EOS mit Canon Cash Back Bonus,0,0,2,0,17,2,4,17
neutral,#ebay #fotografia Canon Powershot G15 G 15 Digitalkamera Ware für den deutschen Markt NEU http://t.co/imGLJ6uTHf,1,1,2,0,15,5,4,15
neutral,#Eil.. Mutti am Kochherd... Aus 5 min Ei wird Spiegelei durch schnelle SMs sie fand die Rautentaste nicht.. #MerkEl,0,0,2,0,19,9,8,19
neutral,#Eishockey #Oberliga Oberliga Nord: Adendorfer EC nicht für großen Kampf belohnt – 3-4 gegen Rostock... http://t.co/yS6giE297D #Adendorf,1,1,3,0,17,6,6,17
neutral,"#Elektronik #2: Kindle Paperwhite [Vorgängermodell], 15 cm (6 Zoll) hochauflösendes Display mit integrierter B...  http://t.co/WYkZz86fbO",1,1,2,0,16,2,3,16
positive,#Endlich Zuhause http://t.co/giPdDflToK,1,1,1,0,3,0,3,0
neutral,#Energiewende paradox: Deutschlands wundersame Stromschwemme http://t.co/hjbxHMQu47 #faz,1,1,2,0,7,0,1,7
neutral,#Englische_Lebensversicherungen kostenlos vergleichen • Testsieger • Extrem gute Rendite • Sehr sichere Anlage: http://t.co/4LggFmYvfk,1,1,1,0,14,1,3,14
neutral,#Entwicklungsland #Schweiz? Laut Grafik punkto #Datengeschwindigkeit deutlich unter OECD-Schnitt http://t.co/thfFyEVmYg via @PUNKTmagazin,1,1,3,1,12,4,3,12
positive,#Erleichterung,0,0,1,0,1,0,1,0
neutral,#erneuerbare #energie #jobs #emobility EMOBILITY Ingenieur funktionale Sicherheit für elektrische An… http://t.co/ESEaG39fEz,1,1,4,0,12,2,1,12
neutral,#Erotisches Abenteuer Baden-Württemberg http://t.co/botmEaBKke,1,1,1,0,4,0,0,4
neutral,"#F1 Der neue Red Bull RB10 für 2014 kommt mit ein paar unkonventionellen Lösungen, kündigt Helmut Marko an. AMuS: http://t.co/27ALaO2YBy",1,1,1,0,20,9,8,20
neutral,#Fahrwerk Re: Vorderreifen rutscht weg http://t.co/uW6AQkQaKX #Ducati #SBK,1,1,3,0,8,1,1,8
neutral,"#Farbpulver +siffige Leute? #Holi Kleine Erklärung? ""RTL Explosiv Holi Festival of Colours Reportage"" en Vimeo http://t.co/8N5j8efrV0 #Vimeo",1,1,3,0,17,2,2,17
neutral,#FCBayern Frankfurts Jung fällt gegen Bayern wohl aus: Frankfurt - Eintracht Frankfurt muss im Heimspiel gegen... http://t.co/wWAIUiCwjH,1,1,1,0,17,6,12,17
neutral,#FDP natürlich gegen Veggie Day und sieht dem Pay Day am 22.09.2013 entgegen.,0,0,1,0,13,8,8,13
neutral,"#Fettverbrennung TV Werbung Shot for Slim 14x60ml Ananas Abnehmen Diät Artischocke Schlank EUR 2,00 (3 Gebote) An http://t.co/itmPwtkCW6",1,1,1,0,18,3,4,18
neutral,"#Feuerwehr #Hanau, abgebrannte Kerze löst Brand aus: http://t.co/vLMT1LAKtH",1,1,2,0,8,0,1,8
neutral,"#Feuerwehr, aufmerksame Nachbarn löschen Küchenbrand: http://t.co/qnzrmOcKLW",1,1,1,0,6,0,0,6
positive,"#ff @Buch2011 #ff @Aktien2011 #ff @ebooks2013 #ff @urzeit #ff @Werbung2000 #ff @Wissen2000 Ich verbeuge mich vor dem großen Autor, Chapeaux!",0,0,6,6,20,5,20,11
neutral,"#Flammen schlagen fünf Stockwerke hoch! Die #Temperaturen steigen, #Winde werden bis zu 100 km/h stark. http://t.co/jhM4h4Xs6Z",1,1,3,0,16,4,5,16
neutral,#Focus Jack Black - Jack Black dreht „Sex Tape“: Jetzt wird es schlüpfrig: US-Schauspieler Jack B... http://t.co/cHGY4IPMJe #nachrichten,1,1,2,0,18,9,9,18
neutral,#Focus Playoffs zur Champions League - Schalke ganz schwach: Nur 1:1 gegen PAOK Saloniki: Und plö... http://t.co/UEr24dQURx #nachrichten,1,1,2,0,18,9,8,18
neutral,#Forex #Börse #CFDs DAX: Gute Unternehmenszahlen geben Auftrieb!: Nach einer schwachen ersten Wochenhä... http://t.co/CL2sfJTAQc #Aktien,1,1,4,0,15,5,5,15
neutral,#Frauen zum Heiraten aus Baden http://t.co/u8b3hkcfLL,1,1,1,0,6,2,2,6
neutral,#Frauen zum Heiraten aus Niederösterreich http://t.co/3XTi0mjJz4,1,1,1,0,6,2,2,6
neutral,#Freunde finden Altenburg http://t.co/cOZTtB6Lhu,1,1,1,0,4,1,1,4
neutral,#Fuß #walk #walking #back #beauty #home #me #losangeles #train #usa #zahause #haus #beautiful #beauty #cool http://t.co/ZUt7cmycKy,1,1,15,0,16,3,5,16
neutral,"#Fussball Treueschwur von BVB-Boss Watzke: ""Würde niemals Jürgen Klopp entlassen. Niemals. Nie"": Jürgen Klopp ... http://t.co/7YpJ5jEbSa",1,1,1,0,16,4,5,16
neutral,#games Fable Legends: Exklusiv für Xbox One angekündigt http://t.co/CKmeZhit75,1,1,1,0,9,1,2,9
neutral,"#GeekWeek: Heute könnt ihr auf Youtube Missile Command spielen, wies genau funktioniert, steht hier: http://t.co/fydnJ9xgrO",1,1,1,0,15,6,8,15
neutral,#Gehaltsvergleich #kfz meister http://t.co/RyfkVWkhNu,1,1,2,0,4,0,0,4
neutral,#GermanyLovesStoryOfMyLife bitte macht mit German Directioner !!!,0,0,1,0,7,4,4,7
neutral,#gesundheitIT AOK startet umfangreiche Ausschreibung http://t.co/kWmdRJAKGT #ehealth,1,1,2,0,7,0,1,7
neutral,#Gewinnspiel #gratis Versandapotheke.de Gutschein über 5 Euro: 5 Euro Rabatt erhalten S... http://t.co/ZIeXbCcE2R http://t.co/geetsrWsoZ,2,2,2,0,14,3,3,14
neutral,#GEWINNSPIELTEILNAHME #gratis! Mit Glück eine #Playstation 4✔ GEWINNEN? ➽http://t.co/FKaTZkRs1d ✔ #gewinnspiel,1,1,4,0,11,3,4,11
neutral,#Golden morn #indomie ✅✅“@Twihard_Nadia: Hunger @ 1:50AM”,0,0,2,2,7,0,2,7
neutral,"#Google erweitert Liste seiner ""Open-Source-Patente"" http://t.co/AQeQ3mJEY6",1,1,1,0,6,2,1,6
neutral,"#gothic,#secondhand Gratis zum Kauf: Pinnwand, Mad Hatter, Büste, Aftershave, Yotsuba&amp;!, uvm.: Hallo zusammen,... http://t.co/SVZLCs5Ywq",1,1,2,0,14,2,3,14
neutral,#Grünen-Spitzenkandidatin Katrin @GoeringEckardt sieht beim #ECHO-Interview noch Chancen für #RotGrün bei der #btw13: http://t.co/5Fik914KTN,1,1,4,1,14,7,8,14
neutral,"#Gratis mitmachen hier! 250,00 #Euro✔ ★#Gutschein✔ zu GEWINNEN! #Geld zum shoppen! ➽http://t.co/mZFdEutJnl ✔ #gewinnspiel",1,1,5,0,14,4,4,14
neutral,"#Großbritannien: 1993: Höchststand Arbeitslosigkeit: 10,3% 1999: Einführung #Mindestlohn 2005: Arbeitslosenquote 4,6%",0,0,2,0,11,0,0,11
neutral,"#Gruppenliga: #SGAE mit Pörschmann, Choteschovsky, Dreßbach, Schneider, Körner, Siegfart, A. Geiger, S. Grochow, C. Geiger, Müller, Kraus",0,0,2,0,17,1,3,17
neutral,#gutenacht Die Onliner der #ThüringerAllgemeine melden sich ab 9.00 Uhr wieder.,0,0,2,0,11,7,7,11
neutral,#gutschein Gratisbeigabe Stickpouf at http://t.co/RSAbyCsF11 http://t.co/L8WJAkXcQ1,2,2,1,0,6,0,1,6
neutral,#gwm2 #s21 Dr Deimel stellt Fragen an Herrn Wolff zu konkreten Messwerten bei Berger Quellen.,0,0,2,0,15,5,5,15
neutral,#herbst #winter Tuning für gibbs http://t.co/otwVUZ367I,1,1,2,0,6,1,2,6
positive,#Hertha überragend mit 6:1 gegen Eintracht Frankfurt - und damit vorübergehend #Tabellenführer,0,0,2,0,12,5,12,7
positive,#heute #post #bekommen #offiziell #bayernmünchen #bayern #münchen #mitglied #schal #karte #geil… http://t.co/HNKaGDxBir,1,1,11,0,12,0,12,2
positive,#hihi #göttlich #die #beiden 😜#versteckt #sich #der #kleine #Krümmel #unter #der #grossen ❤#Wautzi… http://t.co/XLD5hCvb1f,1,1,13,0,14,1,14,3
neutral,#Holland-Facts: Tanzen wie Mata Hari … Die exotische Tänzerin und Spionin Mata Hari stammte aus den #Niederlanden.,0,0,2,0,17,7,6,17
neutral,#hvv S3 fährt unregelmäßig bis harburg. Linie nach #Lüneburg aber komplett tot.,0,0,2,0,12,6,6,12
neutral,#ICE724 NürnbergHbf 35m http://t.co/VuxKciDWeO | #ICE529 AschaffenburgHbf 5m http://t.co/WRmjdwzuKr,2,2,2,0,9,1,1,9
neutral,#ICE786 MünchenHbf: Halt entfällt http://t.co/B7dT2dG77Y | #ICE881 HamburgHbf: Verspätete Bereitstellung http://t.co/8DjDGW0KMW,2,2,2,0,11,2,2,11
negative,#Ich #raff #nicht #wie #sehr #sich #Leute #ändern #können #i #need #a #girl #in #my #life #forever… http://t.co/W6nfUnBikI,1,1,17,0,18,18,4,1
neutral,#iMatze Inkflow-Update: Importiert reale Notizen aufs iPad http://t.co/UCtpeqY1KF,1,1,1,0,8,1,1,8
neutral,#innovation #BORT Zweizug Knöchelstütze medium blau http://t.co/RmxuhtYuEh,1,1,2,0,7,0,1,7
neutral,#innovation #KATHETER Einmal CH 12 Frau 18cm steril http://t.co/lhxWIlqESR,1,1,2,0,9,2,3,9
neutral,"#Internet freie Zone - Einmal #digital entgiften, bitte! http://t.co/5oAo5risMs #hotel #trend #nische #entstressen",1,1,6,0,13,3,4,13
neutral,#Jülich #Zeuge nach Verkehrsunfall gesucht 25.04.2013 http://t.co/Nxl39tqSay,1,1,2,0,7,2,1,7
neutral,#Job #Stellenangebot http://t.co/8TySTX5cQy - Daimler AG: Praktikum ab Oktober 2013 im Bereich Brand Management / Internal Branding,1,1,2,0,17,5,7,17
neutral,"#Job #Stellenangebot http://t.co/Y7Pzydte72 - AUDI AG: Praktikum - Dichtheit, eine große Herausforderung für Mechatroniken",1,1,2,0,14,5,5,14
neutral,#Job #Studentenjob / Studentenjobs in #Frechen: Servicekräfte mit Liebe zum Detail gesucht! Aushilfsjob / Nebenjob http://t.co/Cc2Ycl4WSu,1,1,3,0,16,6,6,16
neutral,#Job #Studentenjob / Studentenjobs in #Meinerzhagen: Interessanter Last Minute Job gesucht?!! Wir bieten flexible... http://t.co/HH0t7VPM9M,1,1,3,0,15,4,5,15
neutral,#jobs #Sales #Medien #TV #Tele M1 sucht #Persönlichkeit #Werbe #Verkauf im #Aussendienst (m/w) http://t.co/2IR8EazQoQ,1,1,9,0,14,2,2,14
neutral,"#Jobs #Stellenangebot, Neue Herausforderung, bessere Aufstiegschancen, eine Position die zu Ihnen passt? http://t.co/wPmEnbQnSN",1,1,2,0,13,5,5,13
neutral,#jobs Die Redaktion «#Der #Bund» sucht eine/n #Praktikant/-in http://t.co/dZVIR2flZj,1,1,4,0,9,2,2,9
neutral,#Kanzlerduell jetzt#NSA,0,0,2,0,2,0,0,2
neutral,"#Kfz Gutacher aus Hessen, Adolph-Kolping-Straße 18 in 63512 Hainburg: Ingenieurbüro Schaumburg http://t.co/stEMcGe6ba",1,1,1,0,12,3,2,12
neutral,#Kinder Schreibtische #Kinder Schreibtische Kleinanzeigen #Kleinanzeigen kostenlos aufgeben #Schreibtische gebraucht http://t.co/2cPe2gaFjg,1,1,4,0,11,0,2,11
neutral,#Kinder Sitzgruppen #Sitzgruppen Kleinanzeigen #Kleinanzeigen kostenlos aufgeben #Kleinanzeigen verkaufen http://t.co/8iBJVIlUcA,1,1,4,0,10,0,1,10
neutral,"#Kinderkanal: Kleiner Roter Traktor, #NDR: Nordmagazin, #Nick/CC: Ein Hund rettet Halloween, #NTV: Nachrichten, #PHOENIX: Vor Ort",0,0,5,0,16,2,5,16
neutral,"#Kinderkanal: Piets irre Pleiten, #MOTORVISION: Motorheads, #N24: Nachrichten, #Nick/CC: Lucky Fred, #NTV: Nachrichten, #rbb: Rbb aktuell",0,0,6,0,16,1,1,16
neutral,"#Kleinanzeigen Dirndl kaum getragen, GrÃ¶Ãe 38 (Augsburg): Kleinanzeigen: Dirndl kaum… http://t.co/iEVMjsRBdw",1,1,1,0,11,1,1,11
neutral,#koeln - Extrem scharfe Frau aus Koeln sucht Liebelei mit wirklichem Gentleman http://t.co/RwRI5dmvtK,1,1,1,0,13,5,6,13
neutral,#KPMG: Jede vierte Schweizer #Privatbank macht Verlust http://t.co/AwMnoIc6E3,1,1,2,0,8,3,2,8
negative,#Krankenhaus #chillen #Kopfschmerzen #aua #Kreislauf #schwindelig #nicht #laufen #können #geiles… http://t.co/cZxlv56xvl,1,1,10,0,11,11,1,2
neutral,"#Kultur, podcast ohne Reue hören, jazz and beyond, Ken Lester, USA, http://t.co/MVHEuiqYxj",1,1,1,0,12,2,2,12
neutral,#Kultur: Prinz William - Prinz William über Baby George: „Laut aber gutaussehend“: Der Alltag mac... http://t.co/3IbaDnygCr #Nachrichten,1,1,2,0,17,5,5,17
neutral,#Kurier #Chronik Bim stoppte flüchtenden Ladendieb: 51-Jähriger wurde nach Diebstahl zwischen Straßenbah... http://t.co/aVX9qW4yoM #News,1,1,3,0,14,3,4,14
neutral,"#Kurier #Chronik LKH Graz kommt nicht zur Ruhe: Dialysepatient verstarb, weil notwendige OP verschoben w... http://t.co/3RiW9fTrGr #News",1,1,3,0,17,5,5,17
neutral,#Kurier #Sport Serena Williams gewinnt WTA-Championships: Serena beendete eine überragende Saison standesgemäß. http://t.co/gFgkBHl7gx #News,1,1,3,0,14,2,4,14
neutral,#Landau: Wer zahlt die Millionen für die #Bomben-Suche auf Gelände der #Landesgartenschau? Hauptausschuss diskutiert. http://t.co/rNfz8eNHHw,1,1,3,0,15,6,7,15
negative,#langeweile macht sich breit...,0,0,1,0,4,4,3,3
neutral,#Lastminute #Urlaub ! Viele Chancen zum #Geld #sparen http://t.co/PJmCm64Q0F,1,1,4,0,9,4,3,9
